repo,issue_1_number,issue_1_text,issue_2_number,issue_2_text,is_duplicate
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",152,"[FOSSOVERFLOW-25]  feat: add a loading screen with spin animation
### Pre-submission Checklist
- [X] I have searched the [existing issues](https://github.com/OpenLake/Student_Database_COSA/issues) to ensure this feature has not already been requested.
---

##  Problem Statement
**Current Issue:** The loading screen is ugly and not user friendly

---

##  Proposed Solution
**Solution:** Add a loading screen with some kind of spin animation adhering to the new design

**Technical Notes (optional):** The loading screen should be consistent throughout the application, replace every page with the loading text with the new loading screen component

---

##  Screenshots
Current loading screen: 
<img width=""1865"" height=""1006"" alt=""Image"" src=""https://github.com/user-attachments/assets/e3c93783-89da-4105-b0c5-1686020f3612"" />

---

## Implementation Considerations
-   **Estimated Complexity:** Medium
-  **Adherence to existing design: ** kindly have a look at the design we're aiming at and add a loading screen that's consistent with the design theme 

https://www.figma.com/design/30y4S7ZfFo92GAwV2uacOG/Student-DB_CoSA?node-id=0-1&t=e95ozkVrFmlxgdOK-1

https://www.figma.com/proto/30y4S7ZfFo92GAwV2uacOG/Student-DB_CoSA?page-id=0%3A1&node-id=137-595&viewport=661%2C-371%2C0.32&t=M1ipuMN3sULq6Vlr-1&scaling=min-zoom&content-scaling=fixed&starting-point-node-id=137%3A595",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",150,"[HACKTOBERFEST-25] bug: change title from ""React App"" to ""CoSA ERP""
## 🐞 Describe the Bug
Website title is ""React App""

---

## ✅ Expected vs 🚫 Actual Behavior
- **Expected:** ""CoSA ERP"" should be displayed as title 
- **Actual:** ""React App"" is being displayed as the title

---

## 📸 Screenshots & Evidence
<img width=""170"" height=""53"" alt=""Image"" src=""https://github.com/user-attachments/assets/1525a9e2-78e0-4e17-96c1-51799e7e05ff"" />",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",144,"Feat: Logout Button Functionality in President Dashboard
### Pre-submission Checklist
- [ ] I have searched the [existing issues](https://github.com/OpenLake/Student_Database_COSA/issues) to ensure this feature has not already been requested.
---

##  Problem Statement
**Current Issue:** The President Dashboard lacks a logout button. Once logged in, there is no intuitive way for the user to terminate their session securely. This is a significant security vulnerability (e.g., on a shared computer) and provides an incomplete and frustrating user experience.

<img width=""1379"" height=""910"" alt=""Image"" src=""https://github.com/user-attachments/assets/6d2da6dd-d99e-43c2-8a18-b8d0cdc0503f"" />

---

##  Proposed Solution
**Solution:** Add a clear and accessible logout mechanism to the main header of the President Dashboard.

The recommended approach is to implement a User Profile Dropdown in the top-right corner:

- Replace the static ""Presidential Access"" button with a user profile icon (e.g., an avatar or a generic user symbol).
- When this icon is clicked, a dropdown menu appears.
- This menu will contain a ""Logout"" option, complete with a sign-out icon. For better UX, the ""Logout"" text could be styled in red to signify a final action.
- This solution is clean, modern, and highly scalable, allowing for future additions like ""Profile Settings"" or ""Help"" links without cluttering the header.

**Technical Notes:** 

- Frontend: A new UI component for the dropdown menu will be needed. On-click, the frontend should clear any stored authentication tokens (like a JWT in localStorage/sessionStorage) and redirect the user to the login page.
- Backend (optional): If using server-side sessions, an API endpoint (e.g., /api/auth/logout) should be called to invalidate the user's session on the server.

---

##  Alternatives Considered
1.  A Simple ""Logout"" Button: An alternative is to add a standalone ""Logout"" button directly into the header, next to the existing ""Presidential Access"" button.
Why it's not the best choice: While simpler to implement, this approach can clutter the header as more user-specific actions are added in the future. The dropdown approach keeps the UI cleaner and is more organized.

---

##  Impact Assessment
-   **Target Users:** The President and any other administrative roles using this dashboard.
-   **Value Proposition:** Massively improves application security, provides a complete user authentication lifecycle, and meets standard user expectations for web applications.
-   **Usage Frequency:** Every time a user finishes their session.
-   **Priority:** High — This is a fundamental security and usability feature.

---

## Success Metrics
-   [ ]  Primary Metric: Users can successfully log out of their session, and their access is terminated until they log in again.
-   [ ] Secondary Metric: The logout feature is easily discoverable and intuitive, requiring no special instructions for the user.

---

## Implementation Considerations
-   **Estimated Complexity:** Simple
-   **Dependencies:** None. This can be built on top of the existing authentication system.
-   **Breaking Changes:** No. This feature is additive and will not affect any existing functionality.

---

##  Additional Context
-   This feature is a standard requirement for any application that has an authenticated user session. It's crucial for basic security hygiene.

Please assign this issue to me under Hacktoberfest 2025.
I'll get this done.
Thanks!
---",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",139,"[HACKTOBERFEST] Feature Request: Add PR and Issue Templates
# 🧩 Feature Request: Add PR and Issue Templates

## 📋 Summary
Currently, the repository does not have **Pull Request (PR)** or **Issue templates**.  
Adding these templates will help contributors maintain consistency and clarity when submitting contributions or reporting bugs.

---

## 🔍 Problem Statement
Without templates:
- Issues may lack sufficient details for maintainers to reproduce or understand problems.  
- PRs may not include context, motivation, or testing steps.  
This can slow down reviews and increase communication overhead.

---

## 💡 Proposed Solution
Create standard templates inside the `.github/` directory:

### 1. Issue Template
File: `.github/ISSUE_TEMPLATE/bug_report.md`  
Includes:
- Description  
- Steps to reproduce  
- Expected behavior  
- Screenshots (optional)  
- Environment details  

### 2. PR Template
File: `.github/PULL_REQUEST_TEMPLATE.md`  
Includes:
- Summary of changes  
- Related issue (if any)  
- Screenshots or logs (if applicable)  
- Checklist for testing and documentation  

---

## ✅ Expected Outcome
- Better structured issues and PRs  
- Easier maintenance and faster review process  
- Improved contributor experience",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",137,"[HACKTOBERFEST] feat: Implement Role-Based Scoping for 'Position' Field in Add Position Holder Form
###  **Description**

This feature enhances the ""Add Position Holder"" form to be role-aware. Currently, the ""Position"" dropdown allows any administrator to assign a user to a position in any organizational unit, which poses a security and data integrity risk. This task is to filter the list of available positions based on the logged-in user's role (President, GENSEC, or Club Coordinator), ensuring they can only assign positions within their designated scope of authority.

File : frontend/src/Components/Positions/AddPositionHolderForm.jsx
---

### **Detailed Requirements & Acceptance Criteria**

The primary change is in the frontend `AddPositionHolderForm` component, specifically how it filters the `positions` array before displaying them in the dropdown.

#### **1. Fetch Current User's Role & Info**
* The component must first identify the logged-in user's role (e.g., `PRESIDENT`, `GENSEC_SCITECH`, `CLUB_COORDINATOR`) and their email address. (refer context/AdminContext file) 

#### **2. Implement Conditional Filtering for the 'Position' Dropdown**
The list of positions shown in the dropdown must be dynamically filtered based on the user's role:

* **If Role is `PRESIDENT` or `STUDENT`:**
    * [ ] The dropdown should list **all** available positions from every organizational unit. (This is the current behavior).

* **If Role is `GENSEC_SCITECH`:**
    * [ ] The dropdown should only show positions where the associated `position.unit_id.category` is `'scitech'`.

* **If Role is `GENSEC_ACADEMIC`:**
    * [ ] The dropdown should only show positions where the associated `position.unit_id.category` is `'academic'`.

* **If Role is `GENSEC_CULTURAL`:**
    * [ ] The dropdown should only show positions where the associated `position.unit_id.category` is `'cultural'`.

* **If Role is `GENSEC_SPORTS`:**
    * [ ] The dropdown should only show positions where the associated `position.unit_id.category` is `'sports'`.

* **If Role is `CLUB_COORDINATOR`:**
    * [ ] The dropdown should only show positions belonging to the coordinator's **own club**.
    * **Logic:** The coordinator's unit ID is found by matching their logged-in email with the `contact_info.email` of an `OrganizationalUnit`. The position list is then filtered to show only positions where `position.unit_id` matches this ID.

---

### **Implementation Guidance (for the contributor)**

The existing code already fetches all positions. The changes should be made to filter this list on the frontend.

1.  **Get User Data:** In `AddPositionHolderForm.jsx`, fetch the current user's role and email and store them in state.
2.  **Filter `positions` Array:** Instead of directly using `positions` to create `filteredPositions`, create an intermediate state variable (e.g., `scopedPositions`).
3.  **Create a `useEffect`:** This effect should run whenever the `user.role` or the main `positions` list changes. Inside, apply the role-based filtering logic described above to the `positions` array and update `scopedPositions`.
4.  **Update Dropdown Source:** Modify the `filteredPositions` logic to use `scopedPositions` as its source array instead of the full `positions` list. This will ensure the search functionality works on the already-scoped list.",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",136,"[HACTOBERFEST] feat: Implement Role-Based Scoping in 'Add Position' Form`
### **Description**

This feature enhances the ""Add New Position"" form to be role-aware. Currently, the ""Organizational Unit"" dropdown shows all units to all users. This needs to be changed to a scoped-down list based on the logged-in user's role (President, GENSEC, or Club Coordinator), improving both usability and security by preventing users from creating positions in units they don't manage.

File: frontend/src/Components/Positions/AddPositionForm.jsx

---

### **Detailed Requirements & Acceptance Criteria**

The primary change is in the frontend `AddPositionForm` component, specifically how it fetches and displays the list of organizational units.

#### **1. Fetch Current User's Role & Info**
* The component must first identify the logged-in user's role (e.g., `PRESIDENT`, `GENSEC_SCITECH`, `CLUB_COORDINATOR`) and their email address. This data should be available from a global Admin context (frontend/src/context/).

#### **2. Implement Conditional Filtering Logic**
The list of units shown in the dropdown must be filtered based on the user's role **before** being displayed.

* **If Role is `PRESIDENT`:**
    * [ ] The dropdown should list **all** organizational units. (This is the current behavior).

* **If Role is `GENSEC_*` (e.g., `GENSEC_SCITECH`):**
    * [ ] The dropdown should only show units whose `category` matches the GENSEC's domain.
    * For `GENSEC_SCITECH`, the list must be filtered to show only units where `unit.category === 'scitech'`, similarly for  GENSEC_ACADEMIC : academic,  GENSEC_CULTURAL: cultural, GENSEC_SPORTS: sports .

* **If Role is `CLUB_COORDINATOR`:**
    * [ ] The ""Organizational Unit"" input field must be **disabled/read-only**.
    * [ ] It should be **pre-filled** with the name of the coordinator's own club.
    * [ ] The `formData.unit_id` must be set automatically.
    * [ ] **Logic:** The coordinator's unit is identified by finding the `OrganizationalUnit` in the fetched list whose `contact_info.email` matches the logged-in coordinator's email.

#### **3. Backend Recommendation (Optional but Recommended)**
* To improve performance and security, the backend API (`GET /api/events/units`) could be enhanced to automatically return the correctly scoped list of units based on the authenticated user's role, rather than relying only on frontend filtering.

---

### **Implementation Guidance (for the contributor)**

1.  **Get User Data:** In `AddPositionForm.jsx`, fetch the current user's role and email and store them in state.
2.  **Modify Unit Fetching/Filtering:**
    * After fetching the full list of `units`, create a new `useEffect` that runs when the user's role or the `units` list is available.
    * Inside this effect, apply the filtering logic described above to produce a new state variable, `filteredUnits`.
    * Use this `filteredUnits` variable to populate the dropdown.
3.  **Handle Club Coordinator Case:**
    * Add a conditional check for the `CLUB_COORDINATOR` role.
    * If the role matches, find their specific unit from the list using the email-matching logic.
    * Set the `formData.unit_id` with the result and disable the input field.
---",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",127,"[HACKTOBERFEST] style: Redesign the 'My Positions' Page` in student dashboard
### **Description**

This task is to execute a UI/UX redesign of the ""My Positions"" page within the student dashboard. The goal is to refresh the current view with a more modern, clear, and visually appealing layout, drawing inspiration from the attached design.

**Important Constraint:** This is a visual overhaul. All existing functionality and the details displayed for each position must be fully preserved and presented in the new design.

**Scope:** This is a **frontend-only** task.

---

### **Design Inspiration**

The new design should be **inspired by** the layout and style of the mockup provided below. It should follow the general aesthetic (e.g., layout, typography, and color scheme)

<img width=""565"" height=""696"" alt=""Image"" src=""https://github.com/user-attachments/assets/95ba2995-bef3-49d7-91a1-c02584325295"" />

---

### **Technical Implementation**

* **Backend:** **No backend changes are expected.** The frontend will continue to use the existing API for fetching the logged-in student's list of positions.
* **Frontend:**
    * This task involves refactoring the `MyPositionsPage` component and its child components.
    * The primary focus is on updating the JSX structure and CSS/styling.
    * The existing data-fetching logic and state management should be preserved and connected to the new UI components to display all the required information.

---

### **Acceptance Criteria (Task Checklist)**

* [ ] The ""My Positions"" page is successfully redesigned with a new look inspired by the provided image.
* [ ] **All** previously displayed details for each position are present and clearly laid out in the new design.
* [ ] The status of each position (`Active`, `Completed`, etc.) is prominently displayed.
* [ ] The UI clearly distinguishes between current and past positions.
* [ ] The new design is responsive and works well on mobile devices.
* [ ] No existing functionality has been broken during the redesign.",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",126,"[HACKTOBERFEST] style/feat: Redesign Skill Management Page with Filtering
### **Description**

This task is to execute a complete UI/UX overhaul of the ""Skills Management"" page in the student dashboard. The redesign has two primary goals:
1.  **Visual Refresh:** To update the page's appearance to align with our new, modern Figma design, making it more intuitive and visually appealing.
2.  **New Filtering Functionality:** To introduce a powerful filtering system, allowing students to easily sort and view their skills.


---

### **Figma Design Reference**

The new implementation should be based on the provided Figma design. Please follow the layout, component styles, and overall aesthetic defined in the link below.

https://www.figma.com/design/30y4S7ZfFo92GAwV2uacOG/Student-DB_CoSA?node-id=0-1&t=e95ozkVrFmlxgdOK-1

---

### **Key Requirements**

#### **1. Visual Redesign**
* Refactor the existing UI to match the new component-based design from Figma.
* This will likely involve a card-based layout for each skill, which should elegantly display the **skill name**, **proficiency level**, and **endorsement status**.

#### **2. New Filtering System**
* Implement a new set of filter controls on the page, styled according to the Figma design.
* Users must be able to filter their list of skills by the following criteria:
    * **Category:** (e.g., Programming, Design, Communication - from `skill.category`)
    * **Proficiency Level:** (e.g., Expert, Intermediate, Beginner - from `userSkill.proficiency_level`)
    * **Endorsement Status:** (e.g., a toggle or checkbox to ""Show only endorsed skills"" - from `userSkill.is_endorsed`)

---

### **Acceptance Criteria (Task Checklist)**

* [ ] The ""My Skills"" page UI is successfully updated to match the Figma design.
* [ ] New filter controls for **Category**, **Proficiency**, and **Endorsement Status** are implemented and fully functional.
* [ ] The design is responsive and looks good on mobile devices.",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",125,"[FOSSOVERFLOW-25]  style: Redesign the 'My Achievements' Page` in student dashboard
> **NOTE: THIS ISSUE IS FOR FOSSOVERFLOW MENTEE**
### **Description**

This task is to implement a redesign of the ""My Achievements"" page within the student dashboard. The goal is to refresh the current view with a more modern and visually appealing layout, drawing inspiration from the attached design.

**Crucial Constraint:** This is a visual overhaul. All existing features, especially the filtering and sorting logic, must be fully preserved and integrated into the new design. No functionality should be lost.

**Scope:** This is a **frontend-only** task.

---

### **Design Inspiration**

The new design should be **inspired by** the layout and style of the mockup below. It does not need to be a pixel-perfect copy, but it should follow the general aesthetic (e.g., card-based layout, typography, and color scheme).

<img width=""540"" height=""669"" alt=""Image"" src=""https://github.com/user-attachments/assets/63390964-35d2-481f-b53c-5abb9b579b99"" />

---

### **Key Redesign Requirements**

* **Modern Layout:** Replace the current layout with a cleaner design inspired by the mockup, likely using cards each achievement.
* **Integrate Existing Filters:** The new design must seamlessly incorporate all existing filtering and sorting controls. While the appearance of the filters can be updated, their functionality (e.g., filtering by `category`, `verification status`, `date`) must remain identical.
* **Clear Achievement Display:** Each achievement entry in the new design should clearly and elegantly display all its essential information:
    * Title and Description
    * Date Achieved
    * A prominent ""Verified"" or ""Pending"" status badge.
    * A clear, clickable link to view the certificate if one is attached.
* **Preserve All Actions:** Any existing actions available to the student (such as editing or deleting a pending achievement) must be present and fully functional in the new UI.

---

### **Technical Implementation**

* **Backend:** **No backend changes are expected.** The frontend should continue to use the existing API for fetching and filtering the student's achievements.
* **Frontend:**
    * This task involves refactoring the `MyAchievementsPage` component
    * The focus is on updating the JSX structure and CSS/styling to match the new design aesthetic.
    * All existing state management, data fetching, and filtering logic must be preserved and correctly connected to the new UI elements.
    * There should be a button for add achievement (top  right) which is present in current style as well

---

### **Acceptance Criteria (Task Checklist)**

* [ ] The ""My Achievements"" page is successfully redesigned with a new look inspired by the provided image.
* [ ] **All** previous filtering and sorting functionalities are present and fully working in the new design.
* [ ] Each achievement clearly displays its verification status and provides a link to its certificate (if available).
* [ ] The new design is responsive and works well on both desktop and mobile devices.
* [ ] No existing functionality has been broken during the redesign.",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",124,"[HACTOBERFEST] style: Redesign GENSEC's Pending Endorsement Page
### **Description**

This is a redesign of the existing ""Pending Endorsements"" page for General Secretaries (GENSECs). The current functionality for fetching, scoping, and processing requests is already in place. This task is focused on replacing the current user interface with a modern, card-based layout and a tabbed structure to improve usability and align with our new design language.

**Scope:** This is a **frontend-only** task. No changes should be made to the backend APIs or the existing business logic.

---

### **New Design Mockup**

The existing page should be refactored to match the following design. This style should be applied across all tabs (Achievements, Skills, User Skills).

<img width=""800"" height=""576"" alt=""Image"" src=""https://github.com/user-attachments/assets/2e6666c8-f721-4440-b477-4ca74ea52f64"" />

---

### **Key Redesign Requirements**

* **Implement Tabbed Interface:** The redesigned page must use tabs to organize the different types of requests: **'Achievements', 'Skills', and 'User Skills'**.",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",123,"[HACKTOBERFEST] style: Redesign Events Page
### **Description**

This task is to implement a complete visual redesign of the main Events page. The existing layout will be replaced with a modern, responsive grid of ""event cards,"" as shown in the provided design mockup.

The core functionality remains the same: the action buttons displayed on each card will be rendered conditionally based on the user's role and their registration status for that event. This is a **frontend-only** task focused on UI and component structure.

---

### **New Design Mockup**

The final implementation should closely match the following design. Pay attention to the card structure, status badges, icons, and the different states of the main action button.

<img width=""865"" height=""616"" alt=""Image"" src=""https://github.com/user-attachments/assets/52f5c03c-a219-4614-8e65-1638096a2bb3"" />

---

### **Key Features & Requirements**


#### **1. Event Card Structure**
* Each card must be structured as shown in the mockup:
    * **Event Title:** Prominently at the top.
    * **Status Badge:** A colored, pill-shaped badge indicating the event's status (e.g., ""Upcoming,"" ""Completed""). 
    * **Event Details:** A list with icons for key information (Event Head, Guest of Honour, Date, Time, Location).
    * **Icon Buttons:** Small action icons on the right (e.g., Edit, Delete), which are visible only to authorized users like event organizers. Button must be shown according to the role (see current code)",
OpenLake/Student_Database_COSA,243,"Express session secret hardcoded to ""keyboard cat"" — anyone can forge session cookies
## Issue Found

After reviewing the entire codebase, I found **Express session secret is hardcoded** in `backend/index.js:40`:

```javascript
app.use(
  session({
    secret: ""keyboard cat"",
    resave: false,
    saveUninitialized: false,
    ...
  })
);
```

## Why This matters

`""keyboard cat""` is the default example from express-session docs. Anyone who reads this repo's code can:

1. **Forge session cookies** — Craft a valid session for any user including admins
2. **Session hijacking** — The same cookie works across all instances
3. **Bypass authentication** — Since session data is signed with a known secret, an attacker can create a session for any user

## How to fix

1. Generate a cryptographically random secret: `node -e ""console.log(require('crypto').randomBytes(64).toString('hex'))""`
2. Add it to `.env` as `SESSION_SECRET=<random-value>`
3. Update the code:
   ```javascript
   secret: process.env.SESSION_SECRET,
   ```
4. Regenerate the secret before deploying to production",117,"[HACKTOBERFEST] style: Redesign View Feedback Page to Match New UI Mockup
### **Description**

This is a **UI-only task** to update the visual appearance of the `View Feedback` page. The goal is to replace the current styling with the new, modern design provided in the mockup below. On clicking the feedback it must show the details of feedback as popup.

<img width=""748"" height=""837"" alt=""Image"" src=""https://github.com/user-attachments/assets/a5ebc2b8-59bc-4bcb-b684-0339ed07f803"" />

**Important Constraint:** This task is strictly for redesigning the user interface. **No backend APIs, frontend logic, or existing functionality should be changed.** The page must function exactly as it does now, simply with a new look.",
